날짜,요일,홈팀,원정팀,장소,관중 수
2024-04-07,일,키움,한화,고척,16000
2024-04-12,금,키움,롯데,고척,8838
2024-04-13,토,키움,롯데,고척,14197
2024-04-14,일,키움,롯데,고척,12333
2024-04-16,화,키움,KT,고척,2877
2024-04-17,수,키움,KT,고척,3272
2024-04-18,목,키움,KT,고척,2901
2024-04-23,화,키움,KIA,고척,10205
2024-04-24,수,키움,KIA,고척,11048
2024-04-25,목,키움,KIA,고척,13287
2024-04-26,금,키움,삼성,고척,9519
2024-04-27,토,키움,삼성,고척,15073
2024-04-28,일,키움,삼성,고척,13354
2024-05-07,화,키움,두산,고척,7339
2024-05-08,수,키움,두산,고척,6405
2024-05-09,목,키움,두산,고척,8658
2024-05-17,금,키움,SSG,고척,9806
2024-05-18,토,키움,SSG,고척,12133
2024-05-19,일,키움,SSG,고척,10049
2024-05-21,화,키움,NC,고척,3940
2024-05-22,수,키움,NC,고척,4337
2024-05-23,목,키움,NC,고척,3897
2024-05-31,금,키움,SSG,고척,5680
2024-06-01,토,키움,SSG,고척,10462
2024-06-02,일,키움,SSG,고척,8745
